tool,rule,category,status
smartcheck,SOLIDITY_VISIBILITY,access_control,original
smartcheck,SOLIDITY_TX_ORIGIN,access_control,original
smartcheck,SOLIDITY_INTEGER_OVERFLOW,arithmetic,original
smartcheck,SOLIDITY_UINT_CANT_BE_NEGATIVE,arithmetic,original
smartcheck,SOLIDITY_EXACT_TIME,time_manipulation,original
smartcheck,SOLIDITY_UNCHECKED_CALL,unchecked_low_level_calls,original
smartcheck,SOLIDITY_SEND,unchecked_low_level_calls,original
smartcheck,SOLIDITY_GAS_LIMIT_IN_LOOPS,denial_of_service,original
smartcheck,SOLIDITY_TRANSFER_IN_LOOP,denial_of_service,original
smartcheck,SOLIDITY_ERC20_APPROVE,front_running,original
slither,tx-origin,access_control,original
slither,controlled-delegatecall,access_control,original
slither,protected-vars,access_control,original
slither,reentrancy-eth,reentrancy,original
slither,reentrancy-no-eth,reentrancy,original
slither,reentrancy-events,reentrancy,original
slither,unchecked-lowlevel,unchecked_low_level_calls,original
slither,unchecked-send,unchecked_low_level_calls,original
slither,weak-prng,bad_randomness,original
slither,timestamp,time_manipulation,original
slither,divide-before-multiply,arithmetic,original
slither,incorrect-shift,arithmetic,original
solhint,avoid-low-level-calls,unchecked_low_level_calls,original
solhint,avoid-call-value,unchecked_low_level_calls,original
solhint,no-unchecked-calls,unchecked_low_level_calls,original
solhint,avoid-tx-origin,access_control,original
solhint,not-rely-on-time,time_manipulation,original
solhint,not-rely-on-block-hash,bad_randomness,original
slither,arbitrary-send-eth,access_control,PROPOSED_review
slither,uninitialized-state,access_control,PROPOSED_review
slither,controlled-array-length,access_control,PROPOSED_review
slither,locked-ether,denial_of_service,PROPOSED_review
slither,missing-zero-check,access_control,PROPOSED_review
slither,incorrect-equality,arithmetic,PROPOSED_review
slither,shadowing-state,access_control,PROPOSED_review
slither,incorrect-modifier,access_control,PROPOSED_review
slither,events-access,access_control,PROPOSED_review
slither,events-maths,arithmetic,PROPOSED_review
slither,reentrancy-unlimited-gas,reentrancy,PROPOSED_review
solhint,reentrancy,reentrancy,PROPOSED_review
solhint,avoid-throw,denial_of_service,PROPOSED_review
solhint,check-send-result,unchecked_low_level_calls,PROPOSED_review
solhint,multiple-sends,denial_of_service,PROPOSED_review
solhint,avoid-sha3,bad_randomness,PROPOSED_review
solhint,avoid-suicide,access_control,PROPOSED_review
slither,cache-array-length,NON_SECURITY,excluded
slither,constable-states,NON_SECURITY,excluded
slither,costly-loop,NON_SECURITY,excluded
slither,dead-code,NON_SECURITY,excluded
slither,deprecated-standards,NON_SECURITY,excluded
slither,erc20-interface,NON_SECURITY,excluded
slither,external-function,NON_SECURITY,excluded
slither,low-level-calls,NON_SECURITY,excluded
slither,naming-convention,NON_SECURITY,excluded
slither,redundant-statements,NON_SECURITY,excluded
slither,solc-version,NON_SECURITY,excluded
slither,tautology,NON_SECURITY,excluded
slither,too-many-digits,NON_SECURITY,excluded
slither,unused-state,NON_SECURITY,excluded
solhint,use-natspec,NON_SECURITY,excluded
solhint,explicit-types,NON_SECURITY,excluded
solhint,reason-string,NON_SECURITY,excluded
solhint,func-visibility,NON_SECURITY,excluded
solhint,compiler-version,NON_SECURITY,excluded
solhint,state-visibility,NON_SECURITY,excluded
solhint,gas-indexed-events,NON_SECURITY,excluded
solhint,gas-strict-inequalities,NON_SECURITY,excluded
solhint,gas-increment-by-one,NON_SECURITY,excluded
solhint,gas-small-strings,NON_SECURITY,excluded
solhint,func-name-mixedcase,NON_SECURITY,excluded
solhint,visibility-modifier-order,NON_SECURITY,excluded
solhint,const-name-snakecase,NON_SECURITY,excluded
solhint,one-contract-per-file,NON_SECURITY,excluded
solhint,quotes,NON_SECURITY,excluded
solhint,var-name-mixedcase,NON_SECURITY,excluded
solhint,contract-name-capwords,NON_SECURITY,excluded
solhint,no-unused-vars,NON_SECURITY,excluded
solhint,no-empty-blocks,NON_SECURITY,excluded
solhint,function-max-lines,NON_SECURITY,excluded
solhint,constructor-syntax,NON_SECURITY,excluded
solhint,no-complex-fallback,NON_SECURITY,excluded
slither,arbitrary-send-erc20,access_control,PROPOSED_review
slither,reentrancy-benign,reentrancy,PROPOSED_review
slither,unused-return,unchecked_low_level_calls,PROPOSED_review
slither,unchecked-transfer,unchecked_low_level_calls,PROPOSED_review
slither,calls-loop,denial_of_service,PROPOSED_review
slither,assembly,NON_SECURITY,excluded
slither,shadowing-local,NON_SECURITY,excluded
slither,cyclomatic-complexity,NON_SECURITY,excluded
slither,function-init-state,NON_SECURITY,excluded
slither,immutable-states,NON_SECURITY,excluded
