tool,rule,category
smartcheck,SOLIDITY_VISIBILITY,access_control
smartcheck,SOLIDITY_TX_ORIGIN,access_control
smartcheck,SOLIDITY_INTEGER_OVERFLOW,arithmetic
smartcheck,SOLIDITY_UINT_CANT_BE_NEGATIVE,arithmetic
smartcheck,SOLIDITY_EXACT_TIME,time_manipulation
smartcheck,SOLIDITY_UNCHECKED_CALL,unchecked_low_level_calls
smartcheck,SOLIDITY_SEND,unchecked_low_level_calls
smartcheck,SOLIDITY_GAS_LIMIT_IN_LOOPS,denial_of_service
smartcheck,SOLIDITY_TRANSFER_IN_LOOP,denial_of_service
smartcheck,SOLIDITY_ERC20_APPROVE,front_running
slither,tx-origin,access_control
slither,controlled-delegatecall,access_control
slither,protected-vars,access_control
slither,reentrancy-eth,reentrancy
slither,reentrancy-no-eth,reentrancy
slither,reentrancy-events,reentrancy
slither,unchecked-lowlevel,unchecked_low_level_calls
slither,unchecked-send,unchecked_low_level_calls
slither,weak-prng,bad_randomness
slither,timestamp,time_manipulation
slither,divide-before-multiply,arithmetic
slither,incorrect-shift,arithmetic
solhint,avoid-low-level-calls,unchecked_low_level_calls
solhint,avoid-call-value,unchecked_low_level_calls
solhint,no-unchecked-calls,unchecked_low_level_calls
solhint,avoid-tx-origin,access_control
solhint,not-rely-on-time,time_manipulation
solhint,not-rely-on-block-hash,bad_randomness
slither,arbitrary-send-eth,access_control
slither,uninitialized-state,Unknown_Unknowns
slither,controlled-array-length,access_control
slither,locked-ether,Unknown_Unknowns
slither,missing-zero-check,access_control
slither,incorrect-equality,arithmetic
slither,shadowing-state,access_control
slither,incorrect-modifier,access_control
slither,events-access,access_control
slither,events-maths,arithmetic
slither,reentrancy-unlimited-gas,reentrancy
solhint,reentrancy,reentrancy
solhint,avoid-throw,denial_of_service
solhint,check-send-result,unchecked_low_level_calls
solhint,multiple-sends,denial_of_service
solhint,avoid-sha3,bad_randomness
solhint,avoid-suicide,access_control
slither,cache-array-length,NON_SECURITY
slither,constable-states,NON_SECURITY
slither,costly-loop,NON_SECURITY
slither,dead-code,NON_SECURITY
slither,deprecated-standards,NON_SECURITY
slither,erc20-interface,Unknown_Unknowns
slither,external-function,NON_SECURITY
slither,low-level-calls,NON_SECURITY
slither,naming-convention,NON_SECURITY
slither,redundant-statements,NON_SECURITY
slither,solc-version,NON_SECURITY
slither,tautology,NON_SECURITY
slither,too-many-digits,NON_SECURITY
slither,unused-state,NON_SECURITY
solhint,use-natspec,NON_SECURITY
solhint,explicit-types,NON_SECURITY
solhint,reason-string,NON_SECURITY
solhint,func-visibility,access_control
solhint,compiler-version,NON_SECURITY
solhint,state-visibility,access_control
solhint,gas-indexed-events,NON_SECURITY
solhint,gas-strict-inequalities,NON_SECURITY
solhint,gas-increment-by-one,NON_SECURITY
solhint,gas-small-strings,NON_SECURITY
solhint,func-name-mixedcase,NON_SECURITY
solhint,visibility-modifier-order,NON_SECURITY
solhint,const-name-snakecase,NON_SECURITY
solhint,one-contract-per-file,NON_SECURITY
solhint,quotes,NON_SECURITY
solhint,var-name-mixedcase,NON_SECURITY
solhint,contract-name-capwords,NON_SECURITY
solhint,no-unused-vars,NON_SECURITY
solhint,no-empty-blocks,NON_SECURITY
solhint,function-max-lines,NON_SECURITY
solhint,constructor-syntax,NON_SECURITY
solhint,no-complex-fallback,denial_of_service
slither,arbitrary-send-erc20,access_control
slither,reentrancy-benign,reentrancy
slither,unused-return,unchecked_low_level_calls
slither,unchecked-transfer,unchecked_low_level_calls
slither,calls-loop,denial_of_service
slither,assembly,NON_SECURITY
slither,shadowing-local,NON_SECURITY
slither,cyclomatic-complexity,NON_SECURITY
slither,function-init-state,NON_SECURITY
smartcheck,SOLIDITY_ARRAY_LENGTH_MANIPULATION,access_control
smartcheck,SOLIDITY_SAFEMATH,arithmetic
smartcheck,SOLIDITY_BALANCE_EQUALITY,arithmetic
smartcheck,SOLIDITY_CALL_WITHOUT_DATA,unchecked_low_level_calls
smartcheck,SOLIDITY_LOCKED_MONEY,denial_of_service
smartcheck,SOLIDITY_PRAGMAS_VERSION,NON_SECURITY
smartcheck,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,Unknown_Unknowns
smartcheck,SOLIDITY_UPGRADE_TO_050,NON_SECURITY
smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,NON_SECURITY
smartcheck,SOLIDITY_REDUNDANT_FALLBACK_REJECT,Unknown_Unknowns
smartcheck,SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN,NON_SECURITY
smartcheck,SOLIDITY_EXTRA_GAS_IN_LOOPS,NON_SECURITY
smartcheck,SOLIDITY_REVERT_REQUIRE,Unknown_Unknowns
smartcheck,SOLIDITY_SHOULD_RETURN_STRUCT,NON_SECURITY
smartcheck,SOLIDITY_VAR,NON_SECURITY
smartcheck,SOLIDITY_ADDRESS_HARDCODED,NON_SECURITY
slither,immutable-states,NON_SECURITY
