contract,rule,severity,message,line
dataset\selected_contracts\access_control\arbitrary_location_write_simple.sol,compiler-version,Error,Compiler version ^0.4.25 does not satisfy the ^0.8.0 semver requirement,7.0
dataset\selected_contracts\access_control\arbitrary_location_write_simple.sol,use-natspec,Warning,Missing @title tag in contract 'Wallet',9.0
dataset\selected_contracts\access_control\arbitrary_location_write_simple.sol,explicit-types,Warning,Rule is set with explicit type [var/s: uint],10.0
dataset\selected_contracts\access_control\arbitrary_location_write_simple.sol,func-name-mixedcase,Warning,Function name must be in mixedCase,21.0
dataset\selected_contracts\access_control\arbitrary_location_write_simple.sol,reason-string,Warning,Provide an error message for require,27.0
dataset\selected_contracts\access_control\arbitrary_location_write_simple.sol,gas-strict-inequalities,Warning,GC: Non strict inequality found. Try converting to a strict one,27.0
dataset\selected_contracts\access_control\arbitrary_location_write_simple.sol,gas-increment-by-one,Warning,"GC: For [ bonusCodes ] variable, increment/decrement by 1 using: [ ++variable ] to save gas",28.0
dataset\selected_contracts\access_control\arbitrary_location_write_simple.sol,,,,
dataset\selected_contracts\access_control\FibonacciBalance.sol,one-contract-per-file,Warning,Found more than One contract per file. 2 contracts found!,8.0
dataset\selected_contracts\access_control\FibonacciBalance.sol,compiler-version,Error,Compiler version ^0.4.22 does not satisfy the ^0.8.0 semver requirement,8.0
dataset\selected_contracts\access_control\FibonacciBalance.sol,use-natspec,Warning,Missing @title tag in contract 'FibonacciBalance',10.0
dataset\selected_contracts\access_control\FibonacciBalance.sol,explicit-types,Warning,Rule is set with explicit type [var/s: uint],14.0
dataset\selected_contracts\access_control\FibonacciBalance.sol,state-visibility,Warning,Explicitly mark visibility of state,19.0
dataset\selected_contracts\access_control\FibonacciBalance.sol,const-name-snakecase,Warning,Constant name must be in capitalized SNAKE_CASE,19.0
dataset\selected_contracts\access_control\FibonacciBalance.sol,avoid-sha3,Warning,"Use ""keccak256"" instead of deprecated ""sha3""",19.0
dataset\selected_contracts\access_control\FibonacciBalance.sol,func-visibility,Warning,Explicitly mark visibility in function,26.0
dataset\selected_contracts\access_control\FibonacciBalance.sol,gas-increment-by-one,Warning,"GC: For [ withdrawalCounter ] variable, increment/decrement by 1 using: [ ++variable ] to save gas",27.0
dataset\selected_contracts\access_control\FibonacciBalance.sol,reason-string,Warning,Provide an error message for require,31.0
dataset\selected_contracts\access_control\FibonacciBalance.sol,avoid-low-level-calls,Warning,Avoid to use low level calls.,31.0
dataset\selected_contracts\access_control\FibonacciBalance.sol,,,,
dataset\selected_contracts\access_control\incorrect_constructor_name1.sol,compiler-version,Error,Compiler version ^0.4.24 does not satisfy the ^0.8.0 semver requirement,7.0
dataset\selected_contracts\access_control\incorrect_constructor_name1.sol,use-natspec,Warning,Missing @title tag in contract 'Missing',9.0
dataset\selected_contracts\access_control\incorrect_constructor_name1.sol,reason-string,Warning,Provide an error message for require,13.0
dataset\selected_contracts\access_control\incorrect_constructor_name1.sol,func-name-mixedcase,Warning,Function name must be in mixedCase,20.0
dataset\selected_contracts\access_control\incorrect_constructor_name1.sol,func-visibility,Warning,Explicitly mark visibility in function,26.0
dataset\selected_contracts\access_control\incorrect_constructor_name1.sol,,,,
dataset\selected_contracts\access_control\incorrect_constructor_name2.sol,compiler-version,Error,Compiler version ^0.4.24 does not satisfy the ^0.8.0 semver requirement,8.0
dataset\selected_contracts\access_control\incorrect_constructor_name2.sol,use-natspec,Warning,Missing @title tag in contract 'Missing',10.0
dataset\selected_contracts\access_control\incorrect_constructor_name2.sol,reason-string,Warning,Provide an error message for require,14.0
dataset\selected_contracts\access_control\incorrect_constructor_name2.sol,func-visibility,Warning,Explicitly mark visibility in function,24.0
dataset\selected_contracts\access_control\incorrect_constructor_name2.sol,,,,
dataset\selected_contracts\access_control\incorrect_constructor_name3.sol,compiler-version,Error,Compiler version ^0.4.24 does not satisfy the ^0.8.0 semver requirement,7.0
dataset\selected_contracts\access_control\incorrect_constructor_name3.sol,use-natspec,Warning,Missing @title tag in contract 'Missing',9.0
