contract,tool,rule,category,severity,status,description
FibonacciBalance.sol,Mythril,112,Delegatecall to user-supplied address,High,Detected,The contract delegates execution to another contract with a user-supplied address. The smart contract delegates execution to a user-supplied address.This could allow an attacker to execute arbitrary code in the context of this contract account and manipulate the state of the contract account or execute actions on its behalf.
FibonacciBalance.sol,Mythril,101,Integer Arithmetic Bugs,High,Detected,The arithmetic operator can overflow. It is possible to cause an integer overflow or underflow in the arithmetic operation.
FibonacciBalance.sol,Mythril,101,Integer Arithmetic Bugs,High,Detected,The arithmetic operator can overflow. It is possible to cause an integer overflow or underflow in the arithmetic operation.
FibonacciBalance.sol,Mythril,112,Delegatecall to user-supplied address,High,Detected,The contract delegates execution to another contract with a user-supplied address. The smart contract delegates execution to a user-supplied address.This could allow an attacker to execute arbitrary code in the context of this contract account and manipulate the state of the contract account or execute actions on its behalf.
FibonacciBalance.sol,Mythril,107,State access after external call,Medium,Detected,"Read of persistent state following external call The contract account state is accessed after an external call to a user defined address. To prevent reentrancy issues, consider accessing the state only before the call, especially if the callee is untrusted. Alternatively, a reentrancy lock can be used to prevent untrusted callees from re-entering the contract in an intermediate state."
FibonacciBalance.sol,Mythril,113,Multiple Calls in a Single Transaction,Low,Detected,"Multiple calls are executed in the same transaction. This call is executed following another call within the same transaction. It is possible that the call never gets executed if a prior call fails permanently. This might be caused intentionally by a malicious callee. If possible, refactor the code such that each transaction only executes one external call or make sure that all callees can be trusted (i.e. they’re part of your own codebase)."
FibonacciBalance.sol,Mythril,107,State access after external call,Medium,Detected,"Write to persistent state following external call The contract account state is accessed after an external call to a user defined address. To prevent reentrancy issues, consider accessing the state only before the call, especially if the callee is untrusted. Alternatively, a reentrancy lock can be used to prevent untrusted callees from re-entering the contract in an intermediate state."
FibonacciBalance.sol,Mythril,114,Transaction Order Dependence,Medium,Detected,The value of the call is dependent on balance or storage write This can lead to race conditions. An attacker may be able to run a transaction after our transaction which can change the value of the call
arbitrary_location_write_simple.sol,Mythril,124,Write to an arbitrary storage location,High,Detected,"The caller can write to arbitrary storage locations. It is possible to write to arbitrary storage locations. By modifying the values of storage variables, attackers may bypass security controls or manipulate the business logic of the smart contract."
arbitrary_location_write_simple.sol,Mythril,101,Integer Arithmetic Bugs,High,Detected,The arithmetic operator can underflow. It is possible to cause an integer overflow or underflow in the arithmetic operation.
arbitrary_location_write_simple.sol,Mythril,101,Integer Arithmetic Bugs,High,Detected,The arithmetic operator can overflow. It is possible to cause an integer overflow or underflow in the arithmetic operation.
arbitrary_location_write_simple.sol,Mythril,101,Integer Arithmetic Bugs,Low,Detected,The arithmetic operator can overflow. It is possible to cause an integer overflow or underflow in the arithmetic operation.  This issue is reported for internal compiler generated code.
arbitrary_location_write_simple.sol,Mythril,101,Integer Arithmetic Bugs,Low,Detected,The arithmetic operator can overflow. It is possible to cause an integer overflow or underflow in the arithmetic operation.  This issue is reported for internal compiler generated code.
incorrect_constructor_name1.sol,Mythril,114,Transaction Order Dependence,Medium,Detected,The value of the call is dependent on balance or storage write This can lead to race conditions. An attacker may be able to run a transaction after our transaction which can change the value of the call
incorrect_constructor_name1.sol,Mythril,105,Unprotected Ether Withdrawal,High,Detected,Any sender can withdraw Ether from the contract account. Arbitrary senders other than the contract creator can profitably extract Ether from the contract account. Verify the business logic carefully and make sure that appropriate security controls are in place to prevent unexpected loss of funds.
incorrect_constructor_name2.sol,Mythril,114,Transaction Order Dependence,Medium,Detected,The value of the call is dependent on balance or storage write This can lead to race conditions. An attacker may be able to run a transaction after our transaction which can change the value of the call
incorrect_constructor_name2.sol,Mythril,105,Unprotected Ether Withdrawal,High,Detected,Any sender can withdraw Ether from the contract account. Arbitrary senders other than the contract creator can profitably extract Ether from the contract account. Verify the business logic carefully and make sure that appropriate security controls are in place to prevent unexpected loss of funds.
incorrect_constructor_name3.sol,Mythril,114,Transaction Order Dependence,Medium,Detected,The value of the call is dependent on balance or storage write This can lead to race conditions. An attacker may be able to run a transaction after our transaction which can change the value of the call
incorrect_constructor_name3.sol,Mythril,105,Unprotected Ether Withdrawal,High,Detected,Any sender can withdraw Ether from the contract account. Arbitrary senders other than the contract creator can profitably extract Ether from the contract account. Verify the business logic carefully and make sure that appropriate security controls are in place to prevent unexpected loss of funds.
BECToken.sol,Mythril,,,,Failed,Analysis Timeout
insecure_transfer.sol,Mythril,,No Issues,,Clean,
integer_overflow_1.sol,Mythril,101,Integer Arithmetic Bugs,High,Detected,The arithmetic operator can overflow. It is possible to cause an integer overflow or underflow in the arithmetic operation.
integer_overflow_add.sol,Mythril,101,Integer Arithmetic Bugs,High,Detected,The arithmetic operator can overflow. It is possible to cause an integer overflow or underflow in the arithmetic operation.
